,name,Playlist,Predicted Playlist
21,Close 1.2 [2016 Export Wav],more,catching a star  ゜ﾟ･*:.｡..｡.
22,Mi Amor,more,born again
23,A Lack of Understanding,more,born again
24,Water,more,catching a star  ゜ﾟ･*:.｡..｡.
25,Evil Twin,more,more
0,Falaise,冬季到台北来看雨,hill
1,Poison Root,冬季到台北来看雨,salad anniversary
2,100,冬季到台北来看雨,cant help myself
3,Gold Dust,冬季到台北来看雨,冬季到台北来看雨
4,いきのこり●ぼくら,冬季到台北来看雨,easily
5,ひこうき雲,冬季到台北来看雨,easily
6,浴室,冬季到台北来看雨,easily
7,Prayers i,冬季到台北来看雨,cant help myself
8,What Chance Have I Got,冬季到台北来看雨,cant help myself
9,小調90s,冬季到台北来看雨,born again
10,Better,冬季到台北来看雨,冬季到台北来看雨
11,如常,冬季到台北来看雨,making amends
12,Otter Shadows,冬季到台北来看雨,salad anniversary
13,Rain,冬季到台北来看雨,springtime in verse
14,嘔吐,冬季到台北来看雨,more
15,LUNCH,冬季到台北来看雨,mid-season standstill
16,Love is an Accident,冬季到台北来看雨,冬季到台北来看雨
17,Someday - triple j Like A Version,冬季到台北来看雨,hills+
18,figure,冬季到台北来看雨,冬季到台北来看雨
19,NEVA,冬季到台北来看雨,cant help myself
20,UNLIMITED,冬季到台北来看雨,catching a star  ゜ﾟ･*:.｡..｡.
21,no sleep no dream,冬季到台北来看雨,making amends
22,巫堵,冬季到台北来看雨,summer/ and let burn
23,パパイヤ / Papaya - 2022 Remaster,冬季到台北来看雨,wallowing playlist
0,5ever,catching a star  ゜ﾟ･*:.｡..｡.,making amends
1,rage quit,catching a star  ゜ﾟ･*:.｡..｡.,catching a star  ゜ﾟ･*:.｡..｡.
2,Minute Sun,catching a star  ゜ﾟ･*:.｡..｡.,catching a star  ゜ﾟ･*:.｡..｡.
3,A Bottle of Rum,catching a star  ゜ﾟ･*:.｡..｡.,catching a star  ゜ﾟ･*:.｡..｡.
4,In My Heaven All Faucets Are Fountains,catching a star  ゜ﾟ･*:.｡..｡.,salad anniversary
5,Melt Away,catching a star  ゜ﾟ･*:.｡..｡.,catching a star  ゜ﾟ･*:.｡..｡.
6,Black Country,catching a star  ゜ﾟ･*:.｡..｡.,making amends
7,Fell In Love At 22,catching a star  ゜ﾟ･*:.｡..｡.,冬季到台北来看雨
8,home with you,catching a star  ゜ﾟ･*:.｡..｡.,catching a star  ゜ﾟ･*:.｡..｡.
9,海辺の葬列,catching a star  ゜ﾟ･*:.｡..｡.,salad anniversary
10,Just for Loving You I Pay the Price,catching a star  ゜ﾟ･*:.｡..｡.,catching a star  ゜ﾟ･*:.｡..｡.
11,Mistakes,catching a star  ゜ﾟ･*:.｡..｡.,easily
12,I Figured You Out,catching a star  ゜ﾟ･*:.｡..｡.,salad anniversary
13,heaven can wait,catching a star  ゜ﾟ･*:.｡..｡.,catching a star  ゜ﾟ･*:.｡..｡.
14,Scott Street,catching a star  ゜ﾟ･*:.｡..｡.,hill
15,Me in 20 Years,catching a star  ゜ﾟ･*:.｡..｡.,born again
16,Turned Out I Was Everyone,catching a star  ゜ﾟ･*:.｡..｡.,catching a star  ゜ﾟ･*:.｡..｡.
17,Nude,catching a star  ゜ﾟ･*:.｡..｡.,catching a star  ゜ﾟ･*:.｡..｡.
18,Real Headfuck,catching a star  ゜ﾟ･*:.｡..｡.,catching a star  ゜ﾟ･*:.｡..｡.
19,Instrumental 3,catching a star  ゜ﾟ･*:.｡..｡.,catching a star  ゜ﾟ･*:.｡..｡.
0,Nothing Will Change,mid-season standstill,mid-season standstill
1,BLUE,mid-season standstill,hills+
2,Weekend,mid-season standstill,catching a star  ゜ﾟ･*:.｡..｡.
3,Serpents,mid-season standstill,born again
4,Smooth Operator - 2011 Remastered,mid-season standstill,easily
5,Hide & Seek,mid-season standstill,born again
6,Western Wind,mid-season standstill,mid-season standstill
7,Your Loving,mid-season standstill,easily
8,一次就好,mid-season standstill,mid-season standstill
9,LITTLE PALM,mid-season standstill,catching a star  ゜ﾟ･*:.｡..｡.
10,Lovesong,mid-season standstill,hills+
11,Heart Shaped Face,mid-season standstill,mid-season standstill
12,Magazine,mid-season standstill,dusk
13,Goes By So Fast,mid-season standstill,hills+
14,Inside My Love - Remastered 1993,mid-season standstill,mid-season standstill
15,Time Moves Slow,mid-season standstill,salad anniversary
16,Cherry,mid-season standstill,mid-season standstill
17,你把我的,mid-season standstill,冬季到台北来看雨
18,Confessions,mid-season standstill,spam&eggs
19,Bye Storm,mid-season standstill,easily
20,天使,mid-season standstill,hills+
21,New Love Cassette,mid-season standstill,mid-season standstill
22,You Got Me,mid-season standstill,hills+
23,Cry,mid-season standstill,Silas
24,The Difference,mid-season standstill,cant help myself
25,Talk,mid-season standstill,mid-season standstill
26,the perfect pair,mid-season standstill,catching a star  ゜ﾟ･*:.｡..｡.
27,Old Bone - Jim-E Stack Remix,mid-season standstill,wallowing playlist
28,Bad Habit,mid-season standstill,mid-season standstill
29,Polynomial-C,mid-season standstill,hills+
30,Magic,mid-season standstill,making amends
31,Carla - mixed,mid-season standstill,mid-season standstill
32,Note To Self,mid-season standstill,手拉你
33,Sereia Sentimental,mid-season standstill,hills+
0,Love in Passing,springtime in verse,born again
1,Heaven on the Beach With You,springtime in verse,cant help myself
2,"You Needed Love, I Needed You",springtime in verse,Silas
3,Find Enjoyment,springtime in verse,Silas
4,Simulation Swarm,springtime in verse,making amends
5,Spring,springtime in verse,springtime in verse
6,Enter Laughing,springtime in verse,good shit rx
7,Benefits of Lying (With Your Friend),springtime in verse,catching a star  ゜ﾟ･*:.｡..｡.
8,"Here, There And Everywhere - Remastered 2009",springtime in verse,making amends
9,Rain,springtime in verse,springtime in verse
10,Ease Yourself and Glide,springtime in verse,easily
11,Now That I'm Older,springtime in verse,more
12,U-Love,springtime in verse,catching a star  ゜ﾟ･*:.｡..｡.
13,Sons de Carrilhões,springtime in verse,salad anniversary
14,Can't Help Myself,springtime in verse,mid-season standstill
0,Seen It Before,making amends,salad anniversary
1,Life Time Warranty,making amends,catching a star  ゜ﾟ･*:.｡..｡.
2,I Must Apologise,making amends,spam&eggs
3,Fall in Love with You.,making amends,summer/ and let burn
4,Destroy Myself Just For You,making amends,good shit rx
5,Same Damn Luck - Little Dragon Remix,making amends,catching a star  ゜ﾟ･*:.｡..｡.
6,Escalator,making amends,making amends
7,For Love,making amends,dusk
8,Bring Me the Mountain,making amends,making amends
9,Crying on the Subway,making amends,catching a star  ゜ﾟ･*:.｡..｡.
10,Earwig - Mixed,making amends,easily
11,Using What You Got,making amends,making amends
12,如常,making amends,making amends
13,STOOZY,making amends,making amends
14,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",making amends,making amends
15,KEMURI [Vocal:ACO],making amends,making amends
16,Best Light,making amends,手拉你
17,Don't Mind Me,making amends,salad anniversary
18,Appeayl 2 U part 1,making amends,born again
19,Never Forget You,making amends,mid-season standstill
20,The Limit,making amends,making amends
21,Sink In,making amends,salad anniversary
22,Tu t'en lasses,making amends,salad anniversary
23,Ride on Time,making amends,making amends
24,Ke Nako,making amends,making amends
25,Camino Del Sol,making amends,making amends
26,Angel,making amends,手拉你
27,Tala Tannam,making amends,good shit rx
28,Verbena Tea,making amends,easily
29,Are You Still Certain? (feat. Mashrou' Leila),making amends,making amends
30,Only When I,making amends,easily
31,I Think I Lost That Love,making amends,born again
32,Size of the Moon,making amends,making amends
33,Guess It’s All Over,making amends,cant help myself
34,There Was Plenty Time Before Us,making amends,born again
35,Golden Slumbers (Bonus Track),making amends,good shit rx
36,0594 Help,making amends,making amends
37,About Love at 21,making amends,catching a star  ゜ﾟ･*:.｡..｡.
38,Visions - Kevin Yost Remix,making amends,Silas
39,Nature of Consciousness,making amends,手拉你
40,Bizness,making amends,making amends
41,No Measure,making amends,making amends
42,I See You Sometimes,making amends,Silas
43,Incomplete Kisses,making amends,born again
44,Le château de corail,making amends,wallowing playlist
45,So Much Time - So Little Time,making amends,hills+
46,Tenfold,making amends,born again
47,God Forgiving Souls,making amends,making amends
48,Your Love is Killing Me,making amends,easily
49,白い部屋,making amends,hills+
50,Atomized,making amends,making amends
51,Betray My Heart,making amends,born again
52,Pyramid,making amends,catching a star  ゜ﾟ･*:.｡..｡.
0,The Bedhead Club,summer/ and let burn,summer/ and let burn
1,Start Forgetting Death,summer/ and let burn,making amends
2,Clouds,summer/ and let burn,Silas
3,Headache,summer/ and let burn,catching a star  ゜ﾟ･*:.｡..｡.
4,Your Drum (Formerly Lake Vue Gardens),summer/ and let burn,冬季到台北来看雨
5,Almost Fantasy,summer/ and let burn,summer/ and let burn
6,Inside My House; Some Place I Keep Dreaming About,summer/ and let burn,summer/ and let burn
7,(forever?????????),summer/ and let burn,salad anniversary
8,Shadow Garden,summer/ and let burn,hills+
9,Young Adult,summer/ and let burn,easily
10,How Was Your Day?,summer/ and let burn,summer/ and let burn
11,Only To Live In Your Memories,summer/ and let burn,mid-season standstill
12,yin to yang,summer/ and let burn,mid-season standstill
13,Joyride,summer/ and let burn,dusk
14,Room,summer/ and let burn,born again
15,Sun Slips Over - Remastered,summer/ and let burn,making amends
16,Heart Shaped,summer/ and let burn,easily
17,Shit I'm Dreaming,summer/ and let burn,summer/ and let burn
18,cold/mess,summer/ and let burn,cant help myself
19,Drown,summer/ and let burn,hills+
20,i wanna be your girlfriend,summer/ and let burn,hills+
21,Fog as a Bullet,summer/ and let burn,hills+
22,Summer Lover,summer/ and let burn,hills+
23,Some Kind Of Love,summer/ and let burn,born again
24,Talk 2 Me,summer/ and let burn,Silas
25,Some Dream,summer/ and let burn,summer/ and let burn
0,When the Sun Hits,hills+,summer/ and let burn
1,Nite and Day,hills+,hills+
2,いりぐちでぐち,hills+,手拉你
3,Some things Cosmic,hills+,catching a star  ゜ﾟ･*:.｡..｡.
4,LATE NIGHT,hills+,hills+
5,Beautiful Brain,hills+,hills+
6,Robbers,hills+,salad anniversary
7,Mess It Up,hills+,cant help myself
8,忘記他,hills+,good shit rx
9,My Boo - Hitman's Club Mix,hills+,hill
10,Iceblink Luck,hills+,cant help myself
11,MANGO (feat. Adi Oasis),hills+,hills+
12,Akasaka Sad,hills+,cant help myself
13,Wavvy,hills+,hills+
14,小薇,hills+,born again
15,Darling,hills+,easily
16,could cry just thinkin about you,hills+,catching a star  ゜ﾟ･*:.｡..｡.
17,La Camisa Negra,hills+,hills+
18,All Night,hills+,catching a star  ゜ﾟ･*:.｡..｡.
19,Jupiter,hills+,冬季到台北来看雨
20,bad idea!,hills+,mid-season standstill
21,for lovers who hesitate,hills+,making amends
22,Love Tonight (Edit),hills+,catching a star  ゜ﾟ･*:.｡..｡.
23,Playground Love,hills+,born again
24,Superstar,hills+,easily
25,Obsessed,hills+,hills+
26,"I'm Good, I'm Gone",hills+,good shit rx
27,新しい人,hills+,hills+
28,L.A.NIGHT,hills+,hills+
29,Oh No,hills+,cant help myself
30,All I Really Want Is You,hills+,hills+
31,Radio Romance,hills+,easily
32,So Hot You're Hurting My Feelings,hills+,dusk
33,Open Your Eyes,hills+,hills+
34,Loretta,hills+,easily
35,Space Cadet,hills+,hills+
36,Better Views,hills+,cant help myself
37,Take Me Where Your Heart Is,hills+,catching a star  ゜ﾟ･*:.｡..｡.
38,Foolish,hills+,born again
39,Soul Belongs 2 U,hills+,hills+
40,Go Slow,hills+,salad anniversary
41,Inside Friend (feat. John Mayer),hills+,hills+
42,Do It To It,hills+,easily
43,Sad Sex,hills+,born again
44,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),hills+,cant help myself
45,Let It Go,hills+,mid-season standstill
46,ALIEN LOVE CALL,hills+,springtime in verse
47,Heavy,hills+,hills+
48,如常,hills+,making amends
49,Kinda Hate U Kinda Love U,hills+,salad anniversary
50,Kiss of Life,hills+,hills+
51,Haditouni (Habibi Funk 015),hills+,easily
52,There Is Something on Your Mind,hills+,salad anniversary
53,I Lay In Bed,hills+,salad anniversary
54,Maybe Maybe,hills+,hills+
55,Sereia Sentimental,hills+,hills+
56,Ex-Factor,hills+,salad anniversary
57,Something About Us,hills+,hills+
58,Flying Overseas (feat. Devonte Hynes and Solange Knowles),hills+,hills+
59,So,hills+,hill
60,Dorkiest Jam Since Dawn of Time,hills+,hills+
61,SeeSaw - Club Version,hills+,cant help myself
0,Miss The Rage (feat. Playboi Carti),good shit rx,cant help myself
1,Alright,good shit rx,cant help myself
2,Enchanted Mirror,good shit rx,salad anniversary
3,Asleep Among Endives,good shit rx,good shit rx
4,Cien Años,good shit rx,catching a star  ゜ﾟ･*:.｡..｡.
5,Air Kissing,good shit rx,good shit rx
6,Riot,good shit rx,catching a star  ゜ﾟ･*:.｡..｡.
7,When the Sun Hits,good shit rx,summer/ and let burn
8,The Breakup Suite,good shit rx,easily
9,Holes,good shit rx,born again
10,Jt to my Uzi,good shit rx,good shit rx
11,No Time (feat. Gunna),good shit rx,mid-season standstill
12,Hot (feat. Gunna),good shit rx,born again
13,Romanticist,good shit rx,spam&eggs
14,For Lovers,good shit rx,springtime in verse
15,See you again - 電影 “聲之形” 主題曲,good shit rx,hill
0,Intro,手拉你,salad anniversary
1,Helicon 1,手拉你,手拉你
2,Nordlicht,手拉你,salad anniversary
3,Sometimes,手拉你,hills+
4,Trouble,手拉你,salad anniversary
5,Self Discovery,手拉你,catching a star  ゜ﾟ･*:.｡..｡.
6,Supersymmetry,手拉你,手拉你
7,Boyish,手拉你,手拉你
8,夢中人,手拉你,easily
9,Sunglasses,手拉你,Silas
10,Kyoto,手拉你,born again
11,Favor,手拉你,hills+
12,TOBIUME,手拉你,good shit rx
13,I Don't Wanna Be Funny Anymore,手拉你,catching a star  ゜ﾟ･*:.｡..｡.
14,Change,手拉你,Silas
15,Something,手拉你,spam&eggs
16,Thingamajig,手拉你,easily
17,New born,手拉你,手拉你
18,Life Worth Missing,手拉你,Silas
19,Song in E,手拉你,easily
20,home with you,手拉你,catching a star  ゜ﾟ･*:.｡..｡.
21,We Can Be Ghosts Now,手拉你,Silas
22,Ringside,手拉你,hills+
23,Iris,手拉你,cant help myself
24,Funeral,手拉你,making amends
25,Wait,手拉你,hill
26,Sober to Death,手拉你,cant help myself
27,What You Wanted,手拉你,手拉你
0,Death of the Phone Call,salad anniversary,more
1,Babyfather,salad anniversary,easily
2,French Catalogues (Variation On 'The Canon In D Major' By Johann Pachelbel) - Remastered 2004,salad anniversary,salad anniversary
3,Our Song - Remastered,salad anniversary,hills+
4,Tar Baby,salad anniversary,making amends
5,Duele,salad anniversary,making amends
6,These Days,salad anniversary,salad anniversary
7,What a Difference a Day Makes,salad anniversary,making amends
8,I'm God,salad anniversary,easily
9,I See You,salad anniversary,mid-season standstill
10,No Distance Left to Run,salad anniversary,making amends
11,All I Have - Intro,salad anniversary,salad anniversary
12,Ballad of Fallen Angels,salad anniversary,making amends
13,King of Sorrow,salad anniversary,making amends
14,This Must Be the Place (Naive Melody) - 2005 Remaster,salad anniversary,salad anniversary
15,So Into You,salad anniversary,easily
16,Are You Even Real?,salad anniversary,easily
17,Heteroverheels,salad anniversary,summer/ and let burn
18,Apart,salad anniversary,catching a star  ゜ﾟ･*:.｡..｡.
19,Flowers,salad anniversary,mid-season standstill
20,Family and Genus,salad anniversary,Silas
21,Bite The Hand,salad anniversary,salad anniversary
22,Helicon 1,salad anniversary,手拉你
23,Rivers and Roads,salad anniversary,salad anniversary
24,All I Got,salad anniversary,spam&eggs
25,Interlude: I'm Not Angry Anymore,salad anniversary,catching a star  ゜ﾟ･*:.｡..｡.
26,2009,salad anniversary,hills+
27,Bad Vibes Forever,salad anniversary,salad anniversary
28,I Didn't Mean To Fall In Love,salad anniversary,easily
29,Heartbreak Anniversary,salad anniversary,easily
30,Coming Home,salad anniversary,spam&eggs
31,6 8,salad anniversary,hills+
32,Tardei,salad anniversary,hills+
33,Nuestra Ultima Cita,salad anniversary,summer/ and let burn
34,Have You Ever Been (To Electric Ladyland),salad anniversary,easily
35,all the lonely nights in your life,salad anniversary,catching a star  ゜ﾟ･*:.｡..｡.
36,I'm Glad There Is You,salad anniversary,salad anniversary
37,EVERYTHING,salad anniversary,mid-season standstill
38,You Don't Know How Lucky You Are,salad anniversary,salad anniversary
39,The Girl,salad anniversary,hills+
40,On Saturday,salad anniversary,catching a star  ゜ﾟ･*:.｡..｡.
41,The Other Side,salad anniversary,salad anniversary
42,Pieces of What,salad anniversary,good shit rx
43,Otis,salad anniversary,making amends
44,Quadro Verde,salad anniversary,salad anniversary
45,Heaven Up There,salad anniversary,born again
46,These Chains,salad anniversary,born again
47,It's My Time,salad anniversary,Silas
48,Night Shift,salad anniversary,Silas
49,Y3,salad anniversary,more
50,That's Life,salad anniversary,salad anniversary
51,The Perks of Being a Wallflower,salad anniversary,making amends
52,Library Magic,salad anniversary,making amends
53,jake - keep it together,salad anniversary,more
54,Don't Break Your Heart,salad anniversary,catching a star  ゜ﾟ･*:.｡..｡.
55,Push,salad anniversary,cant help myself
56,How Could We,salad anniversary,salad anniversary
57,À La Claire Fontaine,salad anniversary,salad anniversary
58,Cherry,salad anniversary,cant help myself
59,Baltimore,salad anniversary,Silas
60,Artificial Flowers,salad anniversary,easily
61,On The Beach - Remastered,salad anniversary,making amends
62,Motherland,salad anniversary,mid-season standstill
63,Intro,salad anniversary,salad anniversary
64,Asleep Among Endives,salad anniversary,good shit rx
65,Tell Me,salad anniversary,mid-season standstill
66,Enchanted Mirror,salad anniversary,salad anniversary
67,The Thrill of Loneliness,salad anniversary,salad anniversary
68,Concerto for Guitar,salad anniversary,born again
69,Places / Plans,salad anniversary,making amends
0,Still Falling,hill,easily
1,My Boy (Twin Fantasy),hill,born again
2,Light Years,hill,hills+
3,Constellations,hill,good shit rx
4,Good Guy,hill,salad anniversary
5,Nikes,hill,making amends
6,home with you,hill,born again
7,I Wonder,hill,cant help myself
8,When Will You Come Home?,hill,born again
9,Bridges,hill,Silas
10,Don't You Worry 'Bout A Thing,hill,making amends
11,Sober to Death,hill,cant help myself
12,Strawberry Cream,hill,easily
13,Wait,hill,hill
14,Irene,hill,手拉你
15,Sometimes,hill,hills+
16,Wherever You Go,hill,dusk
17,six speed,hill,catching a star  ゜ﾟ･*:.｡..｡.
